,Code,Area,Own Outright,Buying with mortgage,Rented from Local Authority or Housing Association,Rented from Private landlord,Total,Year
286,E09000023,Lewisham,35100,110000,90600,69400,305000,2018
287,E09000024,Merton,49800,71900,31000,54900,207700,2018
288,E09000025,Newham,68200,93300,97400,94800,353700,2018
289,E09000026,Redbridge,69500,116400,24400,96900,307200,2018
290,E09000027,Richmond upon Thames,57500,86600,17400,34700,196200,2018
291,E09000028,Southwark,41800,79300,116800,76700,314600,2018
292,E09000029,Sutton,55100,80500,21400,47300,204400,2018
293,E09000030,Tower Hamlets,40500,53800,110200,109400,314000,2018
294,E09000031,Waltham Forest,55300,114100,53700,51600,274800,2018
295,E09000032,Wandsworth,53800,131100,51400,84600,320900,2018
296,E09000033,Westminster,52600,38600,65500,84800,241600,2018
297,E09000001,City of London,-,-,-,-,12300,2019
298,E09000002,Barking and Dagenham,31800,50500,69500,65500,217300,2019
299,E09000003,Barnet,100900,132700,47300,112700,393600,2019
300,E09000004,Bexley,68600,107300,34500,40900,251400,2019
301,E09000005,Brent,67900,70400,69900,122100,330300,2019
302,E09000006,Bromley,89600,145300,32200,68400,335400,2019
303,E09000007,Camden,51500,44900,94000,69200,259600,2019
304,E09000008,Croydon,71700,128100,75400,114200,389500,2019
305,E09000009,Ealing,71900,117500,42700,110200,342400,2019
306,E09000010,Enfield,64600,114400,73000,88000,340000,2019
307,E09000011,Greenwich,51200,101000,75900,59300,287500,2019
308,E09000012,Hackney,29800,58800,115500,81200,285300,2019
309,E09000013,Hammersmith and Fulham,34200,45900,43500,55700,179300,2019
310,E09000014,Haringey,59500,65200,67200,87200,279100,2019
311,E09000015,Harrow,72400,87900,15200,74700,250100,2019
312,E09000016,Havering,74400,114700,39300,31800,260200,2019
313,E09000017,Hillingdon,58700,107100,49400,94200,309400,2019
314,E09000018,Hounslow,61400,73500,57200,81000,273200,2019
315,E09000019,Islington,41300,45600,97100,56100,240200,2019
316,E09000020,Kensington and Chelsea,37400,19900,51400,45500,154200,2019
317,E09000021,Kingston upon Thames,49500,72400,9100,47900,178900,2019
318,E09000022,Lambeth,32300,103300,106700,83200,325500,2019
319,E09000023,Lewisham,41100,103400,93800,70300,308600,2019
320,E09000024,Merton,44900,79500,25700,58900,209000,2019
321,E09000025,Newham,50800,75700,108300,123600,358300,2019
322,E09000026,Redbridge,69000,103900,26600,110400,310000,2019
323,E09000027,Richmond upon Thames,53200,90500,20000,34400,198100,2019
324,E09000028,Southwark,42200,75100,134100,67400,318900,2019
325,E09000029,Sutton,57900,80900,29100,38500,206400,2019
326,E09000030,Tower Hamlets,28900,53300,136400,101800,320400,2019
327,E09000031,Waltham Forest,57000,102200,48100,72900,280200,2019
328,E09000032,Wandsworth,67300,101500,48900,107100,324700,2019
329,E09000033,Westminster,43400,31400,82500,83500,240700,2019
330,E09000001,City of London,-,-,-,-,-,2020
331,E09000002,Barking and Dagenham,28000,60200,83500,50000,221700,2020
332,E09000003,Barnet,100400,136900,54200,107000,398600,2020
333,E09000004,Bexley,63800,104700,42900,42100,253600,2020
334,E09000005,Brent,77000,76600,58200,107300,319100,2020
335,E09000006,Bromley,92600,156100,44500,45300,338500,2020
336,E09000007,Camden,43400,58900,92800,67400,262500,2020
337,E09000008,Croydon,87400,153700,53600,98000,392700,2020
338,E09000009,Ealing,82800,98800,45400,116700,343800,2020
339,E09000010,Enfield,83000,134300,54500,70200,341900,2020
340,E09000011,Greenwich,47800,81000,83900,78600,291300,2020
341,E09000012,Hackney,22800,67800,104100,94100,288800,2020
342,E09000013,Hammersmith and Fulham,31700,38200,47700,62700,180200,2020
343,E09000014,Haringey,53600,77700,62900,86900,281100,2020
344,E09000015,Harrow,80800,98400,18400,53200,250900,2020
345,E09000016,Havering,68700,110100,32200,52800,263900,2020
346,E09000017,Hillingdon,80300,117900,44800,59900,302900,2020
347,E09000018,Hounslow,44200,84800,60700,84200,273900,2020
348,E09000019,Islington,53200,50800,85800,51800,241600,2020
349,E09000020,Kensington and Chelsea,43500,22400,37200,50800,153900,2020
350,E09000021,Kingston upon Thames,39400,87000,17400,37300,181100,2020
351,E09000022,Lambeth,41800,90500,96300,100600,329200,2020
352,E09000023,Lewisham,48700,124300,73400,66000,312300,2020
353,E09000024,Merton,51700,68200,20700,69400,209900,2020
354,E09000025,Newham,39000,101300,93400,128100,361800,2020
355,E09000026,Redbridge,86500,106500,19600,100900,313500,2020
356,E09000027,Richmond upon Thames,60200,90200,19900,29400,199700,2020
357,E09000028,Southwark,29900,89900,115600,87900,323300,2020
358,E09000029,Sutton,49900,88600,19600,49600,207700,2020
359,E09000030,Tower Hamlets,21100,63100,131400,110100,325800,2020
360,E09000031,Waltham Forest,54900,125400,44600,56500,281400,2020
361,E09000032,Wandsworth,56900,126300,34900,107900,326100,2020
362,E09000033,Westminster,58400,45800,71000,65700,241000,2020
