Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000032,Wandsworth,2002,20919.6,1201.5999999999913,2.253418032786885,3459.04,3923,6.047805171377029
E09000033,Westminster,2002,26447.2,1416.699999999997,2.020388349514563,3362.32,3709,7.865759356634705
E09000001,City of London,2003,36930.4,137.10000000000036,1.423,3217.76,679,11.4770523594053
E09000002,Barking and Dagenham,2003,20378.8,61.70000000001164,2.408840579710145,3589.56,3018,5.677241778936694
E09000003,Barnet,2003,18189.6,972.5999999999768,2.4378939393939394,3682.64,8738,4.939282688506071
E09000004,Bexley,2003,18200.0,726.6000000000058,2.3914782608695653,3522.48,4265,5.166814289932093
E09000005,Brent,2003,19962.8,608.1000000000058,2.580028846153846,3553.6800000000003,13425,5.617500731635937
E09000006,Bromley,2003,11502.4,494.2000000000117,2.304286821705426,3677.96,3556,3.127385833451152
E09000007,Camden,2003,27326.0,381.1000000000058,2.1729148936170213,3630.64,8961,7.526496705814953
E09000008,Croydon,2003,19734.0,357.5999999999767,2.36562676056338,3956.68,6425,4.987514785122881
E09000009,Ealing,2003,21996.0,505.7000000000117,2.5463471074380166,3602.56,10763,6.105658198614319
E09000010,Enfield,2003,19375.2,1063.8999999999942,2.4507391304347825,3627.52,9496,5.3411697247706424
E09000011,Greenwich,2003,19624.8,1435.8999999999942,2.31240206185567,3542.76,7753,5.539409951563187
E09000012,Hackney,2003,23082.8,1371.5565012377774,2.360055555555556,3361.28,10529,6.867264851485148
E09000013,Hammersmith and Fulham,2003,26951.6,589.2999999999884,2.1988461538461537,3363.88,6665,8.012057505023959
E09000014,Haringey,2003,19063.2,571.6842980077781,2.368705263157895,3440.32,14264,5.541112454655381
E09000015,Harrow,2003,19203.6,529.1000000000058,2.606439024390244,3587.48,3281,5.3529497028554855
E09000016,Havering,2003,11154.0,629.4693386773433,2.3710315789473686,3592.6800000000003,1962,3.1046461137646544
E09000017,Hillingdon,2003,22718.8,539.5,2.48054,3689.92,5507,6.1569898534385565
E09000018,Hounslow,2003,22958.0,1174.2000000000116,2.4884827586206897,3687.84,5952,6.225324309080654
E09000019,Islington,2003,30357.6,1279.2999999999884,2.1034767441860467,3398.72,8566,8.932068543451653
E09000020,Kensington and Chelsea,2003,22604.4,397.7000000000117,1.9674761904761904,3190.2000000000003,7872,7.085574572127139
E09000021,Kingston upon Thames,2003,19396.0,536.6000000000058,2.375920634920635,3554.2,4137,5.457205559619605
E09000022,Lambeth,2003,23394.8,806.0,2.231106557377049,3302.52,11140,7.083923791528893
E09000023,Lewisham,2003,19182.8,1061.5,2.2903272727272728,3297.32,15341,5.81769436997319
E09000024,Merton,2003,17830.8,-142.79999999998836,2.366225,3662.88,4312,4.867972742759795
E09000025,Newham,2003,21247.2,1314.3999999999942,2.697094736842105,3550.56,16228,5.984182776801406
E09000026,Redbridge,2003,17659.2,695.2000000000116,2.577208333333333,3847.48,4952,4.5898094337072575
E09000027,Richmond upon Thames,2003,20051.2,291.7999999999884,2.2428101265822784,3532.3600000000006,3861,5.6764316207861025
E09000028,Southwark,2003,29811.6,1678.1000000000058,2.363351851851852,3353.48,6757,8.889750348891301
E09000029,Sutton,2003,20950.8,198.39999999999415,2.323935897435897,3492.84,1662,5.9982134881643585
E09000030,Tower Hamlets,2003,31938.4,1682.0,2.483940476190476,3474.6399999999994,10979,9.191858724932656
E09000031,Waltham Forest,2003,18657.6,291.2999999999884,2.409838709677419,3584.88,9680,5.204525674499564
E09000032,Wandsworth,2003,22505.6,1316.6000000000058,2.250634146341463,3601.5200000000004,5072,6.248917123881027
E09000033,Westminster,2003,25948.0,2219.700000000012,2.009609523809524,3497.0,6591,7.4200743494423795
E09000001,City of London,2004,38885.6,111.09999999999944,1.4236,3417.44,914,11.378575776019476
E09000002,Barking and Dagenham,2004,23566.4,361.6999999999971,2.400144927536232,3656.64,3149,6.444823663253698
E09000003,Barnet,2004,20092.8,1046.6000000000058,2.4340075187969923,3876.6,10732,5.183098591549296
E09000004,Bexley,2004,13312.0,270.59999999999127,2.375451612903226,3466.84,4404,3.83980800959952
E09000005,Brent,2004,20623.2,639.0999999999913,2.5801442307692306,3732.04,15504,5.525985787933677
E09000006,Bromley,2004,13520.0,831.1999999999971,2.286976923076923,3669.12,3866,3.684807256235828
E09000007,Camden,2004,27944.8,722.0999999999913,2.182536842105263,3810.04,15757,7.33451617305855
E09000008,Croydon,2004,20566.0,389.6000000000058,2.374183098591549,4052.3600000000006,8067,5.075067368150904
E09000009,Ealing,2004,22791.6,481.6999999999971,2.5625867768595043,3770.52,12808,6.044683491932147
E09000010,Enfield,2004,22500.4,717.9000000000087,2.432905172413793,3815.24,12584,5.897505792558267
E09000011,Greenwich,2004,19962.8,1624.9000000000087,2.318265306122449,3724.76,6710,5.3594862487784445
E09000012,Hackney,2004,23883.6,1150.5565012377629,2.321532608695652,3512.6,11016,6.79940784603997
E09000013,Hammersmith and Fulham,2004,26863.2,468.3000000000029,2.206192307692308,3540.16,7874,7.588131609870741
E09000014,Haringey,2004,19640.4,1454.684298007778,2.3590833333333334,3566.6800000000003,16920,5.506633620061233
E09000015,Harrow,2004,20956.0,651.0999999999913,2.6374024390243904,3748.68,4333,5.59023442918574
E09000016,Havering,2004,12194.0,544.4693386773579,2.376515789473684,3710.2,2384,3.286615276804485
E09000017,Hillingdon,2004,24564.8,340.5,2.48691,3823.04,6910,6.425462459194777
E09000018,Hounslow,2004,23181.6,901.1999999999972,2.46561797752809,3843.84,7088,6.0308441558441555
E09000019,Islington,2004,27523.6,679.3000000000029,2.0785172413793105,3526.12,6871,7.8056333874059876
E09000020,Kensington and Chelsea,2004,21964.8,154.6999999999971,1.9732380952380952,3372.72,8326,6.512488436632748
E09000021,Kingston upon Thames,2004,19942.0,513.5999999999985,2.397698412698413,3718.0,4465,5.363636363636363
E09000022,Lambeth,2004,24918.4,1020.0,2.229772357723577,3410.16,12847,7.307105824946631
E09000023,Lewisham,2004,20690.8,786.5,2.2743693693693694,3511.04,17497,5.893068720379147
E09000024,Merton,2004,19427.2,-61.80000000000291,2.36135,3792.88,4834,5.122018097066082
E09000025,Newham,2004,23259.6,572.4000000000087,2.6230309278350514,3711.24,19503,6.26733921815889
E09000026,Redbridge,2004,17565.600000000002,707.1999999999971,2.5913958333333333,3885.44,4766,4.520877944325482
E09000027,Richmond upon Thames,2004,22349.6,628.8000000000029,2.269772151898734,3625.96,4868,6.163774559013337
E09000028,Southwark,2004,27008.8,2017.0999999999915,2.3387,3523.0,6657,7.666420664206642
E09000029,Sutton,2004,20592.0,299.4000000000088,2.3217179487179487,3586.44,2145,5.741626794258373
E09000030,Tower Hamlets,2004,34918.0,3039.0,2.484164705882353,3642.6,14575,9.586009992862241
E09000031,Waltham Forest,2004,18298.8,627.3000000000029,2.4193763440860216,3684.2,9016,4.966831333803811
E09000032,Wandsworth,2004,22952.8,1742.5999999999913,2.2468951612903227,3764.28,6672,6.097527282773863
E09000033,Westminster,2004,27944.8,1439.699999999997,2.005205607476636,3709.68,5667,7.532940846649846
E09000001,City of London,2005,40788.8,-0.8999999999996362,1.4262,3754.4,1204,10.86426592797784
E09000002,Barking and Dagenham,2005,23285.6,267.6999999999971,2.409782608695652,3891.16,2321,5.984230923426433
E09000003,Barnet,2005,19931.6,1038.6000000000058,2.4443358208955224,4123.599999999999,13627,4.833543505674654
E09000004,Bexley,2005,19728.8,212.60000000000585,2.3913010752688173,3755.44,4528,5.253392412074217
E09000005,Brent,2005,21663.2,1674.1000000000058,2.5803714285714285,4015.44,17351,5.394975394975395
E09000006,Bromley,2005,18304.0,747.1999999999971,2.2856564885496184,3896.88,2998,4.697091006138244
E09000007,Camden,2005,27903.2,787.1000000000058,2.1988333333333334,4205.24,16532,6.635340670211451
E09000008,Croydon,2005,19401.2,394.6000000000058,2.370993006993007,4240.08,8856,4.575668383615404
E09000009,Ealing,2005,23041.2,833.6999999999971,2.56372131147541,4053.92,14324,5.6836839404822985
E09000010,Enfield,2005,19838.0,557.8999999999942,2.434008547008547,4033.12,7872,4.918772563176895
E09000011,Greenwich,2005,22204.0,1386.8999999999942,2.30494,3934.84,7666,5.6429232192414425
E09000012,Hackney,2005,25625.6,1202.5565012377629,2.3280860215053765,3750.24,7744,6.833056017748198
